dateReferentiel;route;pr;depPr;concessionPr;abs;cumul;x;y;z;cote;Gestionnaire;Agence ;Fait;Ausculte;Structure
01/01/2024;A0007;0;13;N;0;262014;881107,2;6269235,08;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;254;13;N;0;262186;881134,88;6269083,74;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;255;13;N;0;263190;881278,57;6268094,99;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;256;13;N;0;264190;881262,41;6267100,62;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;257;13;N;0;265194;880838,84;6266196,75;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;258;13;N;0;266229;880893,09;6265205,4;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;259;13;N;0;267234;881110,71;6264230,59;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;260;13;N;0;268241;881583,12;6263352,19;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;261;13;N;0;269243;882240,53;6262600,97;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;262;13;N;0;270239;882859,46;6261818,48;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;263;13;N;0;271247;883474,39;6261019,49;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;264;13;N;0;272252;884182,34;6260313,85;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;265;13;N;0;273144;884842,65;6259713,83;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;266;13;N;0;274262;885711,7;6259045,89;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;267;13;N;0;275261;886680,53;6258798,5;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;268;13;N;0;276278;887680,36;6258878,93;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;269;13;N;0;277278;888631;6259183,86;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;270;13;N;0;278267;889592,3;6259000,38;0;D;DIRMED;AIX;Non;Non;Inconnu
01/01/2024;A0007;271;13;N;0;279257;890370,26;6258436,48;0;D;DIRMED;AIX;Non;Oui;Inconnu
01/01/2024;A0007;272;13;N;0;280254;890553;6257460,24;0;D;DIRMED;MARSEILLE;Non;Oui;Inconnu
01/01/2024;A0007;273;13;N;0;281262;890646,97;6256470,77;0;D;DIRMED;MARSEILLE;Oui;Oui;14GB_6BBSG_2.5BBTM
01/01/2024;A0007;274;13;N;0;282265;891339,9;6255768,21;0;D;DIRMED;MARSEILLE;Oui;Oui;14GB_6BBSG_2.5BBTM
01/01/2024;A0007;275;13;N;0;283262;891413,17;6254785,26;0;D;DIRMED;MARSEILLE;Oui;Oui;14GB_6BBSG_2.5BBTM
01/01/2024;A0007;276;13;N;0;284277;891615,02;6253795,19;0;D;DIRMED;MARSEILLE;Oui;Oui;14GB_6BBSG_2.5BBTM
01/01/2024;A0007;277;13;N;0;285279;892128,55;6252962,79;0;D;DIRMED;MARSEILLE;Oui;Oui;"10GB_7BBSG_2;5BBTM"
01/01/2024;A0007;278;13;N;0;286277;892727,22;6252173,97;0;D;DIRMED;MARSEILLE;Non;Oui;Inconnu
01/01/2024;A0007;279;13;N;0;287274;892874,55;6251189,56;0;D;DIRMED;MARSEILLE;Non;Oui;Inconnu
01/01/2024;A0007;280;13;N;0;288268;892988,93;6250204,21;0;D;DIRMED;MARSEILLE;Non;Oui;Inconnu
01/01/2024;A0007;281;13;N;0;289260;892901,26;6249216,66;0;D;DIRMED;MARSEILLE;Non;Oui;Inconnu
01/01/2024;A0007;282;13;N;0;290275;892806,24;6248208,34;0;D;DIRMED;MARSEILLE;Non;Oui;Inconnu
01/01/2024;A0050;0;13;N;0;0;894935,9;6245660,12;0;D;DIRMED;MARSEILLE;Non;Non;Inconnu
